case_id,misspelled_query,corrected_text,target_product_id,domain,typo_type
T-00065,TempoDynamiccs RS-A913,TempoDynamics RS-A913,269854,running_fitness,duplicate
T-00066,CobaltAudip PM-A144P,CobaltAudio PM-A144P,72944,consumer_electronics,substitute
T-00067,Running Sorts,Running Shorts,269854,running_fitness,delete
T-00068,TrailGaer WS-A326X,TrailGear WS-A326X,252404,running_fitness,transpose
T-00069,PulsPeeak,PulsePeak,271212,running_fitness,transpose
T-00070,GC-A1577X,GC-A157X,393618,home_office,duplicate
T-00071,WS-A248S,WS-A948S,254819,running_fitness,substitute
T-00072,Smartwatkhes,Smartwatches,117217,consumer_electronics,phonetic
T-00073,PulseWorsk,PulseWorks,244216,running_fitness,transpose
T-00074,Road Running Shos,Road Running Shoes,221936,running_fitness,delete
T-00075,PulseWokks,PulseWorks,283376,running_fitness,substitute
T-00076,Weatherproof Jakets,Weatherproof Jackets,279942,running_fitness,phonetic
T-00077,Portble Monitors,Portable Monitors,73332,consumer_electronics,delete
T-00078,PceGear,PaceGear,226010,running_fitness,delete
T-00079,PM-A383,PM-A338,75563,consumer_electronics,transpose
T-00080,L-A25S,L-A257S,56974,consumer_electronics,delete
T-00081,NoaLink,NovaLink,142493,consumer_electronics,delete
T-00082,AtlasFit Rg-A073P,AtlasFit RB-A073P,317481,running_fitness,substitute
T-00083,SSR-A550P,SRS-A550P,244440,running_fitness,transpose
T-00084,Ovver-Ear Headphones,Over-Ear Headphones,13543,consumer_electronics,duplicate
T-00085,HaloBeam Uk-C400S,HaloBeam UC-C400S,93411,consumer_electronics,phonetic
T-00086,LumaVifion TWE-A957P,LumaVision TWE-A957P,29421,consumer_electronics,substitute
T-00087,L-A53,L-A543,63826,consumer_electronics,delete
T-00088,AtlasDynamicsRS-A514P,AtlasDynamics RS-A514P,269951,running_fitness,remove_space
T-00089,PiixelBeam,PixelBeam,40449,consumer_electronics,duplicate
T-00090,L-r756S,L-A756S,57230,consumer_electronics,substitute
T-00091,CM-A042X,CM-A002X,467024,home_office,substitute
T-00092,AtlasFiit,AtlasFit,317481,running_fitness,duplicate
T-00093,FlexDynarics,FlexDynamics,318645,running_fitness,substitute
T-00094,HalooBeam UC-C400S,HaloBeam UC-C400S,93411,consumer_electronics,duplicate
T-00095,Weatheproof Jackets,Weatherproof Jackets,281882,running_fitness,delete
T-00096,RRS-A1664X,RRS-A164X,220190,running_fitness,duplicate
T-00097,CoballtVision,CobaltVision,152872,consumer_electronics,duplicate
T-00098,AtlasFit RB-A703P,AtlasFit RB-A073P,317481,running_fitness,transpose
T-00099,Mesh Wi-Fi Systes,Mesh Wi-Fi Systems,146858,consumer_electronics,delete
T-00100,ZelithAudio,ZenithAudio,47045,consumer_electronics,substitute
T-00101,RiseLba RS-A058,RiseLab RS-A058,268780,running_fitness,transpose
T-00102,StudioStudio kM-A002X,StudioStudio CM-A002X,467024,home_office,phonetic
T-00103,PeakWorks EB-f779P,PeakWorks EB-A779P,341048,running_fitness,substitute
T-00104,Tra0l Running Shoes,Trail Running Shoes,230666,running_fitness,substitute
T-00105,VeroLink SP-A87X7,VeroLink SP-A877X,207871,consumer_electronics,transpose
T-00106,Weight Benkhes,Weight Benches,318645,running_fitness,phonetic
T-00107,ES-901S,ES-A901S,90695,consumer_electronics,delete
T-00108,FluxPulse AC-A8499P,FluxPulse AC-A849P,176993,consumer_electronics,duplicate
T-00109,EchooWorks S-A032P,EchoWorks S-A032P,122414,consumer_electronics,duplicate
T-00110,StideWorks,StrideWorks,340336,running_fitness,delete
T-00111,HaloWave SR-A97,HaloWave SR-A967,129592,consumer_electronics,delete
T-00112,VectorWve,VectorWave,161699,consumer_electronics,delete
T-00113,OH-At90,OH-A590,14944,consumer_electronics,substitute
T-00114,ZenithAsdio,ZenithAudio,47045,consumer_electronics,substitute
T-00115,T-A782,T-A728,69840,consumer_electronics,transpose
T-00116,MWS-A1n5,MWS-A175,146858,consumer_electronics,substitute
T-00117,TrailMoshun CS-A475,TrailMotion CS-A475,257923,running_fitness,phonetic
T-00118,RBH-A67S,RBH-A670S,369172,running_fitness,delete
T-00119,RsS-A140X,RRS-A140X,217872,running_fitness,substitute
T-00120,OrbiAudio,OrbitAudio,171496,consumer_electronics,delete
T-00121,Gamin Headsets,Gaming Headsets,47045,consumer_electronics,delete
T-00122,MeridiynCore,MeridianCore,11834,consumer_electronics,substitute
T-00123,NeaAudio,NexaAudio,14944,consumer_electronics,delete
T-00124,Mekhanical Keyboards,Mechanical Keyboards,78279,consumer_electronics,phonetic
T-00125,TempoiFt K-A501S,TempoFit K-A501S,313280,running_fitness,transpose
T-00126,CS-NN803P,CS-N803P,256371,running_fitness,duplicate
T-00127,Acshun Cameras,Action Cameras,177460,consumer_electronics,phonetic
T-00128,MeridianLinkPB-A681X,MeridianLink PB-A681X,99716,consumer_electronics,remove_space
T-00129,StrideDynamicsTRS-A383,StrideDynamics TRS-A383,230666,running_fitness,remove_space
T-00130,TRS-A6222,TRS-A622,231400,running_fitness,duplicate
T-00131,kobaltAudio PM-A144P,CobaltAudio PM-A144P,72944,consumer_electronics,phonetic
T-00132,AC-A0400X,AC-A040X,176540,consumer_electronics,duplicate
T-00133,Camerra Lenses,Camera Lenses,181002,consumer_electronics,duplicate
T-00134,Smart Rigs,Smart Rings,131726,consumer_electronics,delete
T-00135,L&T-Ar36S,L&T-A236S,275189,running_fitness,substitute
T-00136,ST-A86S,ST-A826S,133181,consumer_electronics,delete
T-00137,TrailDynamiks K-A613,TrailDynamics K-A613,313795,running_fitness,phonetic
T-00138,CjbaltVision,CobaltVision,152872,consumer_electronics,substitute
T-00139,AC-Aj40X,AC-A040X,176540,consumer_electronics,substitute
T-00140,EchooWorks,EchoWorks,56974,consumer_electronics,duplicate
T-00141,AefoWorks,AeroWorks,339980,running_fitness,substitute
T-00142,Smarrtwatches,Smartwatches,117952,consumer_electronics,duplicate
T-00143,RP-p974X,RP-A974X,301185,running_fitness,substitute
T-00144,Meridian7ink,MeridianLink,99716,consumer_electronics,substitute
T-00145,Erggonomic Office Chairs,Ergonomic Office Chairs,375122,home_office,duplicate
T-00146,HaloLabs MK-2464S,HaloLabs MK-A464S,78279,consumer_electronics,substitute
T-00147,NmbusPulse,NimbusPulse,131241,consumer_electronics,delete
T-00148,NrvaLink,NovaLink,142493,consumer_electronics,substitute
T-00149,Mobile Hotspets,Mobile Hotspots,151775,consumer_electronics,substitute
T-00150,SummitMotion RP-A66X,SummitMotion RP-A066X,301888,running_fitness,delete
T-00151,VerLoink SP-A877X,VeroLink SP-A877X,207871,consumer_electronics,transpose
T-00152,NrvaForge,NovaForge,176540,consumer_electronics,substitute
T-00153,Smartatches,Smartwatches,117217,consumer_electronics,delete
T-00154,NexaGrid C-A505S,NexaGrid GC-A505S,186337,consumer_electronics,delete
T-00155,QuantupCore,QuantumCore,17751,consumer_electronics,substitute
T-00156,P-A09,P-A089,470203,home_office,delete
T-00157,Weatherproof Jakets,Weatherproof Jackets,281882,running_fitness,phonetic
T-00158,CobaltLogic PS-Ab92S,CobaltLogic PS-A992S,31428,consumer_electronics,substitute
T-00159,NexaTech D&A-A00P,NexaTech D&A-A300P,53059,consumer_electronics,delete
T-00160,Quant7mAudio,QuantumAudio,152775,consumer_electronics,substitute
T-00161,Acshun Cameras,Action Cameras,177460,consumer_electronics,phonetic
T-00162,Sb-A566S,SL-A566S,159662,consumer_electronics,substitute
T-00163,Wt-A961,WR-A961,142493,consumer_electronics,substitute
T-00164,kobaltAudio,CobaltAudio,72944,consumer_electronics,phonetic
T-00165,TrailRunning Shoes,Trail Running Shoes,231400,running_fitness,remove_space
T-00166,AtlasDynmaics,AtlasDynamics,269951,running_fitness,transpose
T-00167,AtlasDyanmics,AtlasDynamics,269951,running_fitness,transpose
T-00168,TRS-A880,TRS-A180,232412,running_fitness,substitute
T-00169,Powe1 Banks,Power Banks,102529,consumer_electronics,substitute
T-00170,VeloEndurrance,VeloEndurance,291582,running_fitness,duplicate
T-00171,Smart Rin4s,Smart Rings,131241,consumer_electronics,substitute
T-00172,Trail Running Shes,Trail Running Shoes,227174,running_fitness,delete
T-00173,Studio icrophones,Studio Microphones,38994,consumer_electronics,delete
T-00174,Gaming Headsfts,Gaming Headsets,47045,consumer_electronics,substitute
T-00175,GPS Runnnig Watches,GPS Running Watches,290030,running_fitness,transpose
T-00176,TWi-A458P,TWE-A458P,23183,consumer_electronics,substitute
T-00177,MeridianCre,MeridianCore,11834,consumer_electronics,delete
T-00178,SRS-A9c0S,SRS-A940S,248708,running_fitness,substitute
T-00179,MH-Af70,MH-A870,152775,consumer_electronics,substitute
T-00180,OrbiWave OH-A388,OrbitWave OH-A388,5238,consumer_electronics,delete
T-00181,CoballtAudio CK-A609,CobaltAudio CK-A609,208744,consumer_electronics,duplicate
T-00182,T-As57S,T-A057S,339268,running_fitness,substitute
T-00183,Novayink,NovaLink,142493,consumer_electronics,substitute
T-00184,OH-A57kX,OH-A575X,11252,consumer_electronics,substitute
T-00185,Laptous,Laptops,58685,consumer_electronics,substitute
T-00186,kwantumLogic,QuantumLogic,2231,consumer_electronics,phonetic
T-00187,TrrailRun,TrailRun,279942,running_fitness,duplicate
T-00188,LumaCllective,LumaCollective,375122,home_office,delete
T-00189,PulseePeak RBH-A670S,PulsePeak RBH-A670S,369172,running_fitness,duplicate
T-00190,HaloEEdge,HaloEdge,42098,consumer_electronics,duplicate
T-00191,VektorGrid PS-A596S,VectorGrid PS-A596S,30070,consumer_electronics,phonetic
T-00192,T1S-A592S,TRS-A592S,226010,running_fitness,substitute
T-00193,SonicCre PM-A714X,SonicCore PM-A714X,75654,consumer_electronics,delete
T-00194,BalanceDvsign,BalanceDesign,470203,home_office,substitute
T-00195,Resistance Bnads,Resistance Bands,317772,running_fitness,transpose
T-00196,WBB-A934,WB-A934,318645,running_fitness,duplicate
T-00197,HRM-A8k7S,HRM-A827S,297693,running_fitness,substitute
T-00198,kwantumLogic OH-A793,QuantumLogic OH-A793,2231,consumer_electronics,phonetic
T-00199,AuriCore OH-t575X,AuriCore OH-A575X,11252,consumer_electronics,substitute
T-00200,CadencePeakRT-A901P,CadencePeak RT-A901P,265683,running_fitness,remove_space
T-00201,Power 1anks,Power Banks,98746,consumer_electronics,substitute
T-00202,kwantumEdge,QuantumEdge,102529,consumer_electronics,phonetic
T-00203,K-Ak13,K-A613,313795,running_fitness,substitute
T-00204,Lptops,Laptops,58685,consumer_electronics,delete
T-00205,S6mmitOne,SummitOne,339268,running_fitness,substitute
T-00206,PeakWorrks,PeakWorks,341048,running_fitness,duplicate
T-00207,Smatrwatches,Smartwatches,122414,consumer_electronics,transpose
T-00208,Tre8dmills,Treadmills,339268,running_fitness,substitute
T-00209,PulsePeakRB-A870P,PulsePeak RB-A870P,317772,running_fitness,remove_space
T-00210,OrbtiAudio HH-A406X,OrbitAudio HH-A406X,171496,consumer_electronics,transpose
T-00211,OritLabs,OrbitLabs,208749,consumer_electronics,delete
T-00212,Atlaszit,AtlasFit,317481,running_fitness,substitute
T-00213,CD-746P,CD-A746P,110095,consumer_electronics,delete
T-00214,DL-A595X,DL-A559X,445060,home_office,transpose
T-00215,TrailMtoion CS-A475,TrailMotion CS-A475,257923,running_fitness,transpose
T-00216,SummitMoshun,SummitMotion,301888,running_fitness,phonetic
T-00217,MeridianTech TWE-A6883X,MeridianTech TWE-A683X,17746,consumer_electronics,duplicate
T-00218,Kettleblels,Kettlebells,313280,running_fitness,transpose
T-00219,LumaVisionTWE-A957P,LumaVision TWE-A957P,29421,consumer_electronics,remove_space
T-00220,Gaming Heapsets,Gaming Headsets,47918,consumer_electronics,substitute
T-00221,VeloMoion,VeloMotion,254819,running_fitness,delete
T-00222,MeridianOne TO-A70sX,MeridianOne TO-A705X,205543,consumer_electronics,substitute
T-00223,Laptosp,Laptops,57230,consumer_electronics,transpose
T-00224,DL-A5599X,DL-A559X,445060,home_office,duplicate
T-00225,Mesh Wi-Fi ySstems,Mesh Wi-Fi Systems,146858,consumer_electronics,transpose
T-00226,PaceRun L&T-A26S,PaceRun L&T-A236S,275189,running_fitness,delete
T-00227,PulsePeyk,PulsePeak,317772,running_fitness,substitute
T-00228,ES-s970S,ES-A970S,90131,consumer_electronics,substitute
T-00229,TrailMotionCS-A475,TrailMotion CS-A475,257923,running_fitness,remove_space
T-00230,SummitMoshun,SummitMotion,301888,running_fitness,phonetic
T-00231,CL-A926S,CL-A296S,181002,consumer_electronics,transpose
T-00232,UM-A881X,UM-A818X,421073,home_office,transpose
T-00233,Action Cam6ras,Action Cameras,177898,consumer_electronics,substitute
T-00234,Power Bnaks,Power Banks,98746,consumer_electronics,transpose
T-00235,SL-n566S,SL-A566S,159662,consumer_electronics,substitute
T-00236,Over-Ear Headfones,Over-Ear Headphones,10282,consumer_electronics,phonetic
T-00237,CM-A00X2,CM-A002X,467024,home_office,transpose
T-00238,TraileGar,TrailGear,252404,running_fitness,transpose
T-00239,AeroTail,AeroTrail,244440,running_fitness,delete
T-00240,CobaltAydio,CobaltAudio,208744,consumer_electronics,substitute
T-00241,OrbitAudio HH-A4006X,OrbitAudio HH-A406X,171496,consumer_electronics,duplicate
T-00242,MotionActtive,MotionActive,297693,running_fitness,duplicate
T-00243,VecqorWave,VectorWave,181099,consumer_electronics,substitute
T-00244,Travel Orgamizers,Travel Organizers,205543,consumer_electronics,substitute
T-00245,PaceRun L&T-A36S,PaceRun L&T-A236S,275189,running_fitness,delete
T-00246,Trail Running SShoes,Trail Running Shoes,231400,running_fitness,duplicate
T-00247,CL-A297S,CL-A296S,181002,consumer_electronics,substitute
T-00248,Laptpos,Laptops,58685,consumer_electronics,transpose
T-00249,MeirdianOne,MeridianOne,205543,consumer_electronics,transpose
T-00250,Studio cicrophones,Studio Microphones,38994,consumer_electronics,substitute
T-00251,Weatheerproof Jackets,Weatherproof Jackets,281203,running_fitness,duplicate
T-00252,ExternalStorage,External Storage,90131,consumer_electronics,remove_space
T-00253,ES-A01S,ES-A901S,90695,consumer_electronics,delete
T-00254,TempoDynamisc,TempoDynamics,269854,running_fitness,transpose
T-00255,Tempogport,TempoSport,305448,running_fitness,substitute
T-00256,Streamming Capture Cards,Streaming Capture Cards,195455,consumer_electronics,duplicate
T-00257,Gamin5 Headsets,Gaming Headsets,47918,consumer_electronics,substitute
T-00258,PortableSpeakers,Portable Speakers,31816,consumer_electronics,remove_space
T-00259,EchoWorks S-A302P,EchoWorks S-A032P,122414,consumer_electronics,transpose
T-00260,Paceqear,PaceGear,290030,running_fitness,substitute
T-00261,PeakWorxs,PeakWorks,248708,running_fitness,substitute
T-00262,VestorGrid PS-A596S,VectorGrid PS-A596S,30070,consumer_electronics,substitute
T-00263,MeridianTeh,MeridianTech,98746,consumer_electronics,delete
T-00264,AxionLiink,AxionLink,177460,consumer_electronics,duplicate
T-00265,Power Baanks,Power Banks,102529,consumer_electronics,duplicate
T-00266,Trail Runnign Shoes,Trail Running Shoes,232412,running_fitness,transpose
T-00267,Tablots,Tablets,69937,consumer_electronics,substitute
T-00268,AeroTrail wRS-A550P,AeroTrail SRS-A550P,244440,running_fitness,substitute
T-00269,Ak-A849P,AC-A849P,176993,consumer_electronics,phonetic
T-00270,NexaAedio UC-A867P,NexaAudio UC-A867P,96224,consumer_electronics,substitute
T-00271,PixelPluse PM-A542,PixelPulse PM-A542,73332,consumer_electronics,transpose
T-00272,Cc-A475,CS-A475,257923,running_fitness,substitute
T-00273,RRS-Zc48P,RRS-Z248P,222324,running_fitness,substitute
T-00274,RishLab,RiseLab,268780,running_fitness,substitute
T-00275,M-A842,MP-A842,87397,consumer_electronics,delete
T-00276,AuriAudio OHH-A597X,AuriAudio OH-A597X,13543,consumer_electronics,duplicate
T-00277,RiseLabRRS-A160,RiseLab RRS-A160,222130,running_fitness,remove_space
T-00278,RRv-Z248P,RRS-Z248P,222324,running_fitness,substitute
T-00279,karbon Racing Shoes,Carbon Racing Shoes,235672,running_fitness,phonetic
T-00280,NvaLink,NovaLink,142493,consumer_electronics,delete
T-00281,Lapttops,Laptops,56974,consumer_electronics,duplicate
T-00282,TraipRun,TrailRun,232412,running_fitness,substitute
T-00283,Tempoynamics,TempoDynamics,269854,running_fitness,delete
T-00284,VeloEnurance,VeloEndurance,257032,running_fitness,delete
T-00285,Cross-TrainingShoes,Cross-Training Shoes,257032,running_fitness,remove_space
T-00286,PrismBem,PrismBeam,67027,consumer_electronics,delete
T-00287,Extrenal Storage,External Storage,90131,consumer_electronics,transpose
T-00288,ZenithAudioGH-A115S,ZenithAudio GH-A115S,47045,consumer_electronics,remove_space
T-00289,FluxPllse,FluxPulse,7954,consumer_electronics,substitute
T-00290,PeakWorks kS-A480,PeakWorks CS-A480,255498,running_fitness,phonetic
T-00291,External Sotrage,External Storage,90501,consumer_electronics,transpose
T-00292,CM-z002X,CM-A002X,467024,home_office,substitute
T-00293,SRS-Aq38S,SRS-A238S,244216,running_fitness,substitute
T-00294,MH-A579S,MH-A759S,151775,consumer_electronics,transpose
T-00295,ForgeFit uS-A916X,ForgeFit RS-A916X,268399,running_fitness,substitute
T-00296,TempoSpor5 CC-A846X,TempoSport CC-A846X,305448,running_fitness,substitute
T-00297,Smartwathces,Smartwatches,123578,consumer_electronics,transpose
T-00298,Studio Microphoones,Studio Microphones,38994,consumer_electronics,duplicate
T-00299,RunningTops,Running Tops,265683,running_fitness,remove_space
T-00300,OrbituAdio,OrbitAudio,171496,consumer_electronics,transpose
T-00301,GCC-A505S,GC-A505S,186337,consumer_electronics,duplicate
T-00302,ForgeGearRS-A714P,ForgeGear RS-A714P,269660,running_fitness,remove_space
T-00303,Heart Rate Monioors,Heart Rate Monitors,298275,running_fitness,substitute
T-00304,Laptups,Laptops,56974,consumer_electronics,substitute
T-00305,B6lanceDesign,BalanceDesign,470203,home_office,substitute
T-00306,NimbsuOne T-A728,NimbusOne T-A728,69840,consumer_electronics,transpose
T-00307,SoninCore,SonicCore,75654,consumer_electronics,substitute
T-00308,Over-Ear Headphonees,Over-Ear Headphones,13543,consumer_electronics,duplicate
T-00309,PulseePak RBH-A670S,PulsePeak RBH-A670S,369172,running_fitness,transpose
T-00310,PulsseWorks,PulseWorks,244216,running_fitness,duplicate
T-00311,RRd-A164X,RRS-A164X,220190,running_fitness,substitute
T-00312,Cleaninng Kits,Cleaning Kits,208749,consumer_electronics,duplicate
T-00313,Power Bansk,Power Banks,102529,consumer_electronics,transpose
T-00314,SM-082,SM-A082,42098,consumer_electronics,delete
T-00315,TrailGear WS-y326X,TrailGear WS-A326X,252404,running_fitness,substitute
T-00316,Po5table Speakers,Portable Speakers,31428,consumer_electronics,substitute
T-00317,Pk-S131S,PC-S131S,104275,consumer_electronics,phonetic
T-00318,TraliMotion,TrailMotion,281203,running_fitness,transpose
T-00319,Sleep 6rackers,Sleep Trackers,133181,consumer_electronics,substitute
T-00320,MerodianVision T-A329X,MeridianVision T-A329X,69937,consumer_electronics,substitute
T-00321,Weatheprroof Jackets,Weatherproof Jackets,279942,running_fitness,transpose
T-00322,NS-w446,NS-A446,148039,consumer_electronics,substitute
T-00323,Lapt4ps,Laptops,63826,consumer_electronics,substitute
T-00324,W9-A115S,WS-A115S,252048,running_fitness,substitute
T-00325,StrideWorksT-A690P,StrideWorks T-A690P,340336,running_fitness,remove_space
T-00326,Security Cameraas,Security Cameras,155491,consumer_electronics,duplicate
T-00327,GRW-A1q3S,GRW-A113S,290030,running_fitness,substitute
T-00328,WJ-AA956P,WJ-A956P,279942,running_fitness,duplicate
T-00329,Portable Monnitors,Portable Monitors,75563,consumer_electronics,duplicate
T-00330,QuantumLoigc,QuantumLogic,188471,consumer_electronics,transpose
T-00331,CL-A29nS,CL-A296S,181002,consumer_electronics,substitute
T-00332,TempoDynnamics,TempoDynamics,269854,running_fitness,duplicate
T-00333,HaloLabsMK-A464S,HaloLabs MK-A464S,78279,consumer_electronics,remove_space
T-00334,NovaBeam MWS-A78sS,NovaBeam MWS-A781S,143075,consumer_electronics,substitute
T-00335,TempoFit K-0501S,TempoFit K-A501S,313280,running_fitness,substitute
T-00336,SR-A9j7,SR-A967,129592,consumer_electronics,substitute
T-00337,AlasFit,AtlasFit,243761,running_fitness,delete
T-00338,Home yubs,Home Hubs,171496,consumer_electronics,substitute
T-00339,T-AA527,T-A527,70616,consumer_electronics,duplicate
T-00340,VerooLink,VeroLink,155491,consumer_electronics,duplicate
T-00341,CobaltVision MHH-A471X,CobaltVision MH-A471X,152872,consumer_electronics,duplicate
T-00342,TrailGcar WS-A326X,TrailGear WS-A326X,252404,running_fitness,substitute
T-00343,PulsWeorks WJ-A398S,PulseWorks WJ-A398S,283376,running_fitness,transpose
T-00344,WorkSystems Uk-A023P,WorkSystems UH-A023P,485809,home_office,substitute
T-00345,USB-CChargers,USB-C Chargers,95351,consumer_electronics,remove_space
T-00346,P-A0m9,P-A089,470203,home_office,substitute
T-00347,D&A-A30cP,D&A-A300P,53059,consumer_electronics,substitute
T-00348,Halodge S-A229P,HaloEdge S-A229P,123578,consumer_electronics,delete
T-00349,MH-t471X,MH-A471X,152872,consumer_electronics,substitute
T-00350,Portable Speakeers,Portable Speakers,30070,consumer_electronics,duplicate
T-00351,Remvte Controls,Remote Controls,209714,consumer_electronics,substitute
T-00352,VeloEnudrance CS-A409X,VeloEndurance CS-A409X,257032,running_fitness,transpose
T-00353,PulseWorks SRS-AA238S,PulseWorks SRS-A238S,244216,running_fitness,duplicate
T-00354,QuantumTch,QuantumTech,177898,consumer_electronics,delete
T-00355,Over-Ear Headhones,Over-Ear Headphones,14944,consumer_electronics,delete
T-00356,NS-A4446,NS-A446,148039,consumer_electronics,duplicate
T-00357,OrbitLtnk,OrbitLink,23183,consumer_electronics,substitute
T-00358,Kettlbells,Kettlebells,313795,running_fitness,delete
T-00359,Gamiwg Monitors,Gaming Monitors,192254,consumer_electronics,substitute
T-00360,USB bubs,USB Hubs,485809,home_office,substitute
T-00361,T-A49S,T-A479S,339980,running_fitness,delete
T-00362,T-A597,T-A527,70616,consumer_electronics,substitute
T-00363,VectorG1id,VectorGrid,30070,consumer_electronics,substitute
T-00364,MeridianCooe,MeridianCore,11834,consumer_electronics,substitute
T-00365,QuaantumTech AC-A436P,QuantumTech AC-A436P,177898,consumer_electronics,duplicate
T-00366,AuirAudio,AuriAudio,13543,consumer_electronics,transpose
T-00367,Zenithsudio L-A753S,ZenithAudio L-A753S,58685,consumer_electronics,substitute
T-00368,PeakWorks SS-A940S,PeakWorks SRS-A940S,248708,running_fitness,delete
T-00369,T-c335,T-A335,67027,consumer_electronics,substitute
T-00370,Laptods,Laptops,55581,consumer_electronics,substitute
T-00371,OH-597X,OH-A597X,13543,consumer_electronics,delete
T-00372,CosaltVision,CobaltVision,152872,consumer_electronics,substitute
T-00373,TempoDynamiks RS-A913,TempoDynamics RS-A913,269854,running_fitness,phonetic
